Redwood City Community Honors Victims of Texas School Shooting, 3 weeks ago, Texas School Shooting: How To Help Victims Families in Uvalde, https://www.nbcbayarea.com/news/local/peninsula/redwood-city-community-honors-victims-of-texas-school-shooting/2904024/ 
Search warrants: What authorities found inside Uvalde shooter’s home truck, 2 weeks ago, UVALDE Texas (KXAN) — A search of the Uvalde school shooter's Ford truck found one black Smith & Wesson rifle and at least 15 fully loaded, https://www.kxan.com/news/texas/uvalde-school-shooting/search-warrants-what-authorities-found-inside-uvalde-shooters-home-truck/ 
The names: 19 children 2 teachers killed in Uvalde school, 2 weeks ago, UVALDE Texas (AP) — Nineteen children were looking forward to a summer , https://apnews.com/article/uvalde-school-shooting-shootings-texas-education-a5b21cface8837e830ed2f9bb4bbcf3c 
Texas school shooting reveals freedom's dark side, 2 weeks ago, Texas school shooting reveals freedom's dark side, https://www.foxnews.com/opinion/texas-school-shooting-guns-freedom-constitution 
Texas school shooting already generating "horrifying" conspiracy theories, 3 weeks ago, They were accompanied by familiar conspiracy theories suggesting the entire shooting was somehow staged, https://www.cbsnews.com/news/texas-school-shooting-conspiracy-theories/ 
‘It's a Miracle That She Survived': Shares Family of 9-Year-Old Uvalde School Shooting Victim, 2 weeks ago, An 18-year-old gunman opened fire at Robb Elementary School in Uvalde Texas on May 24 killing 19 children and two teachers and injuring many, https://www.nbcsandiego.com/news/local/its-a-miracle-that-she-survived-family-of-9-year-old-uvalde-school-shooting-victim-provide-update/2961190/ 
Texas school shooting: How to talk to your kids about tragedy, 3 weeks ago, Experts share tips and best practices for talking to children about the shooting at the Uvalde Texas elementary school, https://ctmirror.org/2022/05/25/how-to-talk-to-your-kids-about-the-texas-school-shooting/ 
‘We are not okay’: Teachers react day after Texas school shooting, 3 weeks ago, Teachers around the country woke up on a school day the morning after the shooting at Robb Elementary School in Uvalde Texas, https://www.nbcnews.com/specials/teachers-react-uvalde-school-shooting-texas-we-are-not-okay/index.html 
Texas Surgeon Who Treated School Shooting Victims Details Response, 3 weeks ago, In the days after the Uvalde Texas school massacre we are learning about the people that helped save some of the victims' lives, https://www.nbcsandiego.com/news/local/texas-surgeon-who-treated-school-shooting-victims-details-response/2958072/ 
Family and friends mourn Texas school shooting victim Irma Garcia and her husband, 2 weeks ago, Nineteen children and two teachers – Garcia and her co-teacher 44-year-old Eva Mireles – were killed on 24 May when an 18-year-old gunman burst, https://www.theguardian.com/us-news/2022/jun/01/texas-school-shooting-funeral-irma-garcia 
Texas school shooter walked through apparently unlocked door police say, 3 weeks ago, Golden State Warriors coach Steve Kerr stormed out of his pregame news conference in Dallas after discussing the need for gun control, https://www.fox5ny.com/news/uvalde-texas-school-shooting-onlookers-urged-police-to-charge-robb-elementary 
21 killed in Texas school shooting: The latest, 3 weeks ago, At least 19 children and two adults are now confirmed dead in Uvalde Texas after a gunman opened fire on an elementary school there, https://www.wbur.org/hereandnow/2022/05/25/texas-school-shooting 
TCSS schools are in constant "soft lockdown" safety plan shows ..., 5 hours ago, “We heard on the news about the Texas school shooting how the shooter got into the school and that classrooms were open” Heaton said, https://www.lagrangenews.com/2022/06/18/tcss-schools-are-in-constant-soft-lockdown-safety-plan-shows-school-system-wants-to-continue-to-learn-from-mistakes-of-nations-mass-shootings/ 
As Texas school shooting confounds the world CBS News looks at other countries' reactions to their own massacres, 3 weeks ago, There was no clear indication on Thursday as to whether the Texas school shooting might prompt American lawmakers to tighten U, https://www.cbsnews.com/news/texas-school-shooting-how-other-countries-changed-gun-laws-after-mass-shootings/ 
11-Year-Old Survivor of Uvalde Massacre Put Blood on Herself and Played Dead Aunt Says, 3 weeks ago, Her friends and classmates were also targeted, https://www.nbcdfw.com/news/local/texas-news/11-year-old-survivor-of-uvalde-massacre-put-blood-on-herself-played-dead-aunt/2978865/ 
Texas school shooting: Did children die while police waited outside?, 3 weeks ago, Children run from Robb Elementary School in Uvalde Texas during the shooting Tuesday, https://www.latimes.com/world-nation/story/2022-05-27/police-delays-may-have-deprived-texas-schoolchildren-of-lifesaving-care-experts-say 
Uvalde’s only pediatrician shares the horror of treating school shooting victims, 3 weeks ago, As the only pediatrician in Uvalde Texas Dr, https://www.nbcnews.com/news/us-news/uvaldes-only-pediatrician-shares-horror-treating-school-shooting-victi-rcna31045 
Andy Murray ‘angry’ about Texas school shooting, 2 weeks ago, Andy Murray 'angry' about Texas school shooting, https://www.theguardian.com/us-news/2022/may/31/andy-murray-angry-texas-school-shooting-dunblane-massacre 
Texas school shooting latest reminder U.S. is global outlier on guns, 3 weeks ago, Texas school massacre latest 'everyday horror' in U, https://www.nbcnews.com/news/world/texas-school-shooting-us-global-outlier-gun-laws-australia-dunblane-rcna30446 
Safety Task Force formed at Bedford school district in response to ..., 1 day ago, Safety Task Force formed at Bedford school district in response to Texas school shooting, https://bronx.news12.com/safety-task-force-formed-at-bedford-school-district-in-response-to-texas-school-shooting 
A Latino on Latino mass school shooting in Uvalde. What now?, 3 weeks ago, Esmeralda Bravo holds a picture of her granddaughter Nevaeh one of the school shooting victims during a vigil at the Uvalde County Fairplex, https://www.latimes.com/california/story/2022-05-25/uvalde-texas-mass-school-shooting-latinos 
School districts nationwide tighten security following Texas school shooting, 3 weeks ago, Days after a mass shooting at a Texas elementary school left 21 people dead and 17 others injured districts across the nation say they're, https://www.cbsnews.com/news/texas-school-shooting-tighten-security/ 
What to know about Uvalde, 3 weeks ago, Facts about Uvalde site of latest Texas school shooting, https://www.dallasnews.com/news/crime/2022/05/24/facts-about-uvalde-site-of-latest-texas-school-shooting/ 
Texas school shooting: 9-year-old discharged from hospital, 2 weeks ago, AUSTIN (KXAN) — University Health System in San Antonio said one of the victims of the Texas school shooting has been released from the, https://www.kxan.com/news/texas/uvalde-school-shooting/texas-school-shooting-9-year-old-victim-discharged-from-hospital/ 
Talking to kids about school shootings: Advice to ease their anxiety ..., 3 weeks ago, If you have school-age children chances are they've already talked to their classmates about the school shooting in Uvalde Texas, https://www.npr.org/sections/health-shots/2022/05/26/1101306073/what-to-say-to-kids-about-school-shootings-to-ease-their-stress 
Texas shooting: First victims named in Uvalde primary school massacre - 19 children and two teachers dead, 3 weeks ago, Seven of the students killed have been named as Uziyah Garcia Xavier Javier Lopez Amerie Jo Garza Annabell Guadalupe Rodriguez Nevaeh Bravo, https://news.sky.com/story/texas-shooting-14-children-and-one-teacher-killed-in-primary-school-shooting-12620763 
Uvalde Mom Who Saved Kids From School Shooting Says Police Threatened Her, 2 weeks ago, There was no excuse for that" Steven McCraw the director of the Texas Department of Public Safety (TDPS) said during a controversial news, https://www.newsweek.com/uvalde-mom-who-saved-kids-school-shooting-says-police-threatened-her-1712842 
In Uvalde Shooting a Son Was Lost a Daughter Saved, 3 weeks ago, More on the Texas School Shooting, https://www.nytimes.com/2022/05/30/us/victims-texas-shooting-family.html 
'Very angry': Uvalde locals grapple with school chief's role, 2 weeks ago, Arredondo who grew up in Uvalde and graduated from high school here was elected earlier , https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-police-644dc916ad976b2a95d2373e47565e9a 
Texas school shooting: Obama clobbered for linking Uvalde massacre to two-year mark of George Floyd's murder, 3 weeks ago, Texas DPS officer describes the 'heroic efforts' of a Uvalde school resource officer on 'The Story, https://www.foxnews.com/media/uvalde-texas-school-shooting-obama-links-george-floyd-murder 
Drive to encourage father involvement rises after Uvalde school shooting, 1 day ago, The link between mass school shootings and absentee fathers has drawn renewed , https://www.washingtontimes.com/news/2022/jun/16/drive-encourage-father-involvement-rises-after-uva/ 
75 people have been killed in U.S. school shootings since 2018, 3 weeks ago, Kladys Castellón prays during a vigil for the victims of a mass shooting at Robb Elementary School in Uvalde Texas on Tuesday, https://www.inquirer.com/news/texas-school-mass-shootings-nationwide-20220525.html 
Police: Tulsa gunman targeted surgeon he blamed for pain, 2 weeks ago, It was the latest in a series of mass shootings in the United States including the deadly school shooting in Uvalde Texas and an attack on, https://apnews.com/article/tulsa-oklahoma-texas-school-shootings-61bba0dcf04e2f8dbc34ec4ee7fd02b0 
Texas senator: School police chief didn't know of 911 calls, 2 weeks ago, UVALDE Texas (AP) — The commander overseeing police during a shooting at an elementary school in Uvalde Texas was not informed of, https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-7a3cd799fe6ca4155ae39f9e956560e5 
Texas Republican leaders’ response to the mass shooting: more guns in schools, 3 weeks ago, Soon after learning of yet another mass shooting this time at an elementary school Texas's conservative leaders quickly provided their latest, https://www.theguardian.com/us-news/2022/may/25/texas-school-shooting-republican-leaders-respond 
Uvalde Catholic priest prepares funerals for Texas school shooting ..., 2 weeks ago, Inside the rectory Father Eduardo Morales met with families of victims took calls from ministries around the country and prepared to lead, https://www.washingtonpost.com/nation/2022/06/02/uvalde-church-priest-texas-shooting/ 
Educators speak out after Texas elementary school shooting, 3 weeks ago, – Educators are speaking out about the shooting Tuesday at a Texas elementary school that left 19 children and two teachers dead, https://www.news4jax.com/news/local/2022/05/25/educators-speak-out-after-texas-elementary-school-shooting/ 
Dozens gather to remember Uvalde shooting victims in Copley Square, 3 weeks ago, , https://www.wbur.org/news/2022/05/27/photos-dozens-gather-to-remember-uvalde-shooting-victims-in-copley-square 
Texas school shooter wasn't arrested for threat in 2018 officials say, 3 weeks ago, Gonzales also tweeted after his Fox News interview that it was actually “unclear” if Ramos was one of the juveniles arrested in 2018, https://apnews.com/article/fact-check-uvalde-2018-tony-gonzales-561365031888 
Oxford board holds moment of silence after Texas school shooting ..., 3 weeks ago, Oxford Community Schools officials held a moment of silence Tuesday for the victims of a mass shooting at a Texas elementary school where 21, https://www.detroitnews.com/story/news/local/oakland-county/2022/05/24/oxford-high-school-shooting-texas-school-shooting-victims-moment-of-slience/9915946002/ 
Sports world reacts to the school shooting in Uvalde Texas, 3 weeks ago, The sports world reacted swiftly Tuesday to the news of an 18-year-old gunman opening fire at an elementary school in Uvalde Texas, https://apnews.com/article/sports-world-reacts-to-uvalde-school-shooting-feb9c472fe0d2cfc5794312ffbd36630 
Mourning and anger after Texas school shooting, 3 weeks ago, Uvalde the Texas town that was the site of the latest US school massacre held an emotional vigil to honor the victims most of whom were, https://www.dw.com/en/mourning-and-anger-after-texas-school-shooting/av-61943628 
Newsom lawmakers vow to speed up gun control bills after Texas ..., 3 weeks ago, California Gov, https://www.capradio.org/articles/2022/05/25/newsom-lawmakers-vow-to-speed-up-gun-control-bills-after-texas-school-shooting/ 
‘I’m just still scared’: Uvalde 3rd grader describes surviving massacre, 3 weeks ago, 'I'm just still scared': Uvalde 3rd grader describes surviving massacre · Shooter sent Facebook messages before Texas school attack that killed, https://www.kxan.com/news/texas/uvalde-school-shooting/im-just-still-scared-uvalde-3rd-grader-describes-surviving-massacre/ 
Texas Republican Convention calls Biden win illegitimate and ..., 13 mins ago, Texas Republican Convention calls Biden win illegitimate and rebukes , https://www.texastribune.org/2022/06/18/republican-party-texas-convention-cornyn/ 
It's not just Uvalde Texas — gunfire on school grounds is at historic ..., 3 weeks ago, It's not just Uvalde Texas — gunfire on school grounds is at , https://www.usatoday.com/story/news/nation/2022/05/24/texas-school-shooting-gunfire-school-grounds-historic-highs/9915334002/ 
“We Cannot Sanitize These Killings”: News Media Considers Breaking Grimly Routine Coverage of Mass Shootings, 3 weeks ago, The Texas Tribune's staff has felt determined to aggressively cover this week's horrific school shooting in Uvalde Texas said editor in, https://www.vanityfair.com/news/2022/05/news-media-considers-breaking-grimly-routine-coverage-of-mass-shootings 
Onlookers urged police to charge into Texas school, 3 weeks ago, People walk with flowers to honor the victims in Tuesday's shooting at Robb Elementary School in Uvalde Texas Wednesday May 25 2022, https://www.npr.org/2022/05/26/1101418947/onlookers-urged-police-to-charge-into-texas-school 
Texas teachers union survey finds that school employees don't want ..., 1 week ago, The survey conducted by Texas American Federation of Teachers comes two weeks after the Uvalde school shooting as Republicans call for, https://www.texastribune.org/2022/06/08/texas-teachers-armed-survey/ 
She smeared blood on herself and played dead: 11-year-old reveals chilling details of the massacre, 3 weeks ago, An 11-year-old survivor of the Robb Elementary School massacre in Uvalde Texas feared the gunman would come back for her so she smeared, https://www.cnn.com/2022/05/27/us/robb-shooting-survivor-miah-cerrillo/index.html 
Live updates | Rifle used in Texas shooting modeled after M4, 3 weeks ago, KEY DEVELOPMENTS IN THE TEXAS ELEMENTARY SCHOOL SHOOTING: , https://abcnews.go.com/US/wireStory/live-updates-superintendent-heart-broken-today-84951141 
Texas shooting timeline: the 911 calls children made during massacre, 3 weeks ago, At least two girls hiding in their classrooms at Robb elementary school in Texas dialled 911 during the shooting law enforcement officials, https://www.theguardian.com/us-news/2022/may/28/texas-shooting-timeline-the-911-calls-children-made-during-massacre 
Uvalde students and staff not returning to Robb Elementary School ..., 2 weeks ago, Sign up for The Brief our daily newsletter that keeps readers up to speed on the most essential Texas news, https://www.texastribune.org/2022/06/01/uvalde-shooting-robb-elementary-school/ 
‘Hits close to home:’ Titusville restaurant raises money for Texas school shooting victims, 3 weeks ago, The owners of BurgerRobs in Titusville will donate 100% of their profits today to the victims of Tuesday's school shooting in Uvalde, https://www.clickorlando.com/news/local/2022/05/25/titusville-restaurant-raising-money-for-texas-school-shooting-victims/ 
Parents Were Asked to Give DNA Samples to Help Identify Victims, 3 weeks ago, Among the countless chilling details to emerge from the school shooting in Uvalde Texas on Tuesday was this: The authorities had asked, https://www.nytimes.com/2022/05/25/us/texas-shooting-parents-dna-victims.html 
NBA family devastated by shooting at Texas elementary school, 3 weeks ago, Our thoughts and heartfelt condolences go out to the victims' family and friends and the entire Robb Elementary School and Uvalde community, https://www.nba.com/news/nba-family-devastated-by-shooting-at-texas-elementary-school 
Jimmy Kimmel Breaks Down Over Texas School Shooting: ‘These Are Our Children’, 3 weeks ago, Holding back tears Kimmel quickly focused on “our leaders on the right—the Americans in Congress and at Fox News and these other outlets” who “, https://www.vanityfair.com/hollywood/2022/05/jimmy-kimmel-breaks-down-over-texas-school-shooting-these-are-our-children 
Uvalde Shooter Fired Outside School for 12 Minutes Before Entering, 3 weeks ago, UVALDE Texas—Local residents voiced anger Thursday about the time it took to end the mass shooting at an elementary school here, https://www.wsj.com/articles/uvalde-residents-voice-frustration-over-shooting-response-11653588161 
Photographs of condolence items after school shootings., 9 hours ago, A visual record of the artifacts that accumulate after school shootings, https://www.theatlantic.com/ideas/archive/2022/06/school-shooting-condolence-artifacts/661303/ 
Gun in Texas Shooting Came From Company Known for Pushing Boundaries, 3 weeks ago, More on the Texas School Shooting, https://www.nytimes.com/2022/05/28/business/daniel-defense-rifle-texas-shooting-gun.html 
Video shows scene outside of elementary school shooting in Texas, 3 weeks ago, Kim Hammond describes the chaotic scene outside her home as a large police presence surrounded Robb Elementary School in Uvalde Texas, https://www.cnn.com/videos/us/2022/05/24/uvalde-texas-elementary-school-shooting-vpx.cnn 
Texas school shooting begs the question: Where is God?, 3 weeks ago, Texas school shooting begs the question: Where is God? As we look for hope after the evil in Uvalde we should cry with those who cry but let's, https://www.foxnews.com/opinion/uvalde-texas-school-shooting-prayer 
Today's Headlines: Carnage in Texas elementary school shooting, 3 weeks ago, 19 children and two adults die in Texas school shooting , https://www.latimes.com/world-nation/newsletter/2022-05-25/uvalde-texas-school-shooting-todays-headlines-newsletter-todays-headlines 
Meghan Markle Visits Memorial For Texas School Shooting Victims, 3 weeks ago, Meghan Markle Visits Memorial For Texas School Shooting Victims, https://www.bet.com/article/pph4tv/meghan-markle-visits-memorial-for-texas-school-shooting-victims 
Texas gunman allegedly texted German teenager plans for attack, 3 weeks ago, , https://www.theguardian.com/us-news/2022/may/26/texas-shooter-texted-german-teenager-plans 
Texas school shooting: Daughter and her best friends 'are all gone ..., 3 weeks ago, But Alithia too was among the victims, https://www.kmov.com/2022/05/26/precious-individuals-taken-texas-school-shooting/ 
‘This is our lane’: Doctors speak out against gun violence after Texas school shooting, 3 weeks ago, Image: A man places his hand on a cross bearing the names of the victims, https://www.nbcnews.com/health/health-news/-lane-doctors-speak-gun-violence-texas-school-shooting-rcna30680 
Uvalde residents familiar with shooter his family, 3 weeks ago, UVALDE Texas (KXAN) — Joseph Moreno has lived within view of the Uvalde school shooter's grandparents' home for years, https://www.kxan.com/news/texas/uvalde-school-shooting/uvalde-residents-familiar-with-shooter-his-family/ 
Therapy Dogs Come To Aid Victims' Families After Texas School Shooting, 2 weeks ago, The school shooting that took place in Uvalde Texas has left many families in deep shock and grief in the area, https://www.ndtv.com/world-news/therapy-dogs-come-to-aid-victims-families-after-texas-school-shooting-3026390 
Photojournalist captures Texas school shooting tragedy emotion, 3 weeks ago, , https://www.wcvb.com/article/texas-school-shooting-photographer/40120566 
Texas School Shooting: Mothers Behind Two Uvalde Memorials Speak Out, 3 weeks ago, Memorials honoring the 21 Robb Elementary School shooting victims are growing in Uvalde Texas, https://www.today.com/parents/moms/texas-school-shooting-memorials-rcna30955 
Texas school shooting: Parents wait for hours to be reunited with kids as DNA tests used to confirm victims, 3 weeks ago, , https://www.cbsnews.com/news/texas-school-shooting-uvalde-parents-kids-dna-test-reunite/ 
Should Media Show Carnage From Texas School Shooting ..., 3 weeks ago, This is now the deadliest school shooting this year but far from the only , https://www.phillymag.com/news/2022/05/26/texas-school-shooting-media-coverage-david-boardman-temple/ 
How the legacy of Republican John Cornyn could be tied to gun ..., 1 day ago, the Arizona Democrat told The Texas Tribune in an interview, https://www.texastribune.org/2022/06/17/john-cornyn-bipartisan-gun-legislation/ 
School shooting in Scotland can teach us lessons about gun ..., 2 weeks ago, As Americans continue to reel from the mass shooting in Uvalde Texas that left 19 students and 2 teachers dead headlines and commentators, https://www.npr.org/2022/06/01/1102239642/school-shooting-dunblane-massacre-uvalde-texas-gun-control 
Teacher Eva Mireles Spoke to Police Officer Husband in Her Final Moments on Other Side of School Wall, 2 weeks ago, Minutes before her death Robb Elementary School teacher Eva Mireles , https://people.com/crime/texas-school-shooting-teacher-eva-mireles-spoke-police-officer-husband-final-moments/ 
School police chief Pete Arredondo a native son of Uvalde under ..., 2 weeks ago, Arredondo worked in Uvalde's police department for 16 years according to Texas Commission on Law Enforcement records and then went south to, https://www.washingtonpost.com/nation/2022/06/01/arrendondo-uvalde-schools-police-chief/ 
Vikings CB starts GoFundMe page for victims of Texas elementary school shooting, 3 weeks ago, , https://www.kare11.com/article/news/local/texas-native-vikings-cb-starts-gofundme-page-for-victims-of-texas-elementary-shooting/89-b0bc0f18-496f-4c4c-8930-fadcbb9acdc5 
Two weeks after Buffalo shooting and days after Texas school massacre New York leaders called on the federal government to take action against gun violence, 3 weeks ago, The mayors of New York City and Buffalo spoke at a news conference in Buffalo Saturday exactly two weeks after the racist mass shooting at a, https://www.cnn.com/2022/05/29/us/new-york-legislators-call-government-action-gun-violence/index.html 
Fact check: Comparison of school shootings in the US other ..., 3 weeks ago, A May 24 massacre at a Texas elementary school that left 19 , https://www.usatoday.com/story/news/factcheck/2022/05/26/fact-check-school-shootings-far-more-common-us-than-elsewhere/9944841002/ 
'Day by day:' Uvalde survivors recover from wounds trauma, 2 weeks ago, UVALDE Texas — Bullet fragments lodged in the children's arms and , https://www.wcnc.com/article/news/special-reports/uvalde-school-shooting/uvalde-survivors-recover-from-wounds-trauma/507-c2776198-6cdb-42bf-bff4-3a3ea6e070e4 
Faith leaders react to Texas school shooting: 'Act of pure evil', 3 weeks ago, Pastor Greg Laurie senior pastor of Harvest Christian Fellowship in California and Hawaii told Fox News Digital on Tuesday evening "The heart, https://www.foxnews.com/lifestyle/faith-leaders-texas-shooting-act-pure-evil 
'Serious' negotiations in Congress about new gun law after Texas school shooting Sen. Murphy says, 3 weeks ago, After the Texas school shooting Murphy gave an impassioned speech on the Senate floor calling for legislative action on gun violence, https://abcnews.go.com/Politics/negotiations-congress-gun-law-texas-school-shooting-sen/story%3Fid%3D85041918 
Families begin to bury the 21 people killed in the Texas school ..., 2 weeks ago, JASMINE ROSARIO: I wanted to support about those 21 victims that died because they didn't really deserve this - like none of the kids or any of, https://www.npr.org/2022/05/31/1102097043/families-begin-to-bury-the-21-people-killed-in-the-texas-school-shooting 
Crisis in the Classroom: Former Florida sheriff weighs in on Texas school shooting, 3 weeks ago, This week the Dallas Morning News reported that Uvalde School District purchased a social media monitoring program a few years ago that uses, https://weartv.com/news/local/crisis-in-the-classroom-former-florida-sheriff-weighs-in-on-texas-school-shooting 
Fox Guest: Calls for Change Post-Shooting 'Hurting the Situation', 3 weeks ago, Fox News guest Buck Sexton said Tuesday on Tucker Carlson Tonight that , https://www.thedailybeast.com/fox-news-guest-says-people-calling-for-change-after-texas-school-shooting-are-hurting-the-situation 
Amanda Gorman pens poem in wake of Texas school shooting: "The truth is one education under desks", 3 weeks ago, But to watch monsters kill children again and again and do nothing isn't just insanity – it's inhumanity, https://www.cbsnews.com/news/amanda-gorman-texas-school-shooting-poem/ 
New Zealand PM Jacinda Ardern responds to Texas school shooting, 3 weeks ago, New Zealand PM Jacinda Ardern responds to Texas school shooting, https://www.theguardian.com/us-news/2022/may/25/we-saw-something-that-wasnt-right-and-we-acted-ardern-on-how-new-zealand-delivered-gun-control 
Texas DPS officers face an investigation into Uvalde shooting ..., 22 hours ago, , https://www.texastribune.org/2022/09/06/uvalde-school-shooting-dps-investigation/ 
After Uvalde Texas State Police Revise Training for Mass Shootings, 21 hours ago, HOUSTON — In the wake of a massacre at an elementary school in the city of Uvalde the Texas Department of Public Safety has quietly adopted, https://www.nytimes.com/2022/09/06/us/texas-mass-shootings.html 
Uvalde school district welcomes back students after Texas school ..., 1 day ago, Driving the news: Parents brought their children to schools in the , https://www.axios.com/2022/09/06/uvalde-school-district-shooting-return-to-school 
Texas community still grapples with fallout from 2018 school ..., 4 weeks ago, Santa Fe officials and mental health groups applied for grants through the federal Victims of Crime Act Fund which draws money from criminal, https://www.npr.org/sections/health-shots/2022/08/12/1116715147/texas-school-shooting-santa-fe-high-school 
5 Texas officers on-site at Uvalde school referred to inspector general; 2 so far suspended with pay: DPS, 19 hours ago, Under one once an "active shooter" is declared at a school the situation cannot be treated as anything else by Texas DPS personnel, https://abcnews.go.com/US/texas-dps-officers-site-uvalde-school-referred-inspector/story%3Fid%3D89418500 
Uvalde shooting victims’ families criticize Gov. Greg Abbott on gun ..., 1 week ago, There they shared sacred details of loved ones who were among the 21 people gunned down on May 24 in Texas' deadliest school shooting, https://www.texastribune.org/2022/08/27/uvalde-shooting-capitol-gun-control-rally/ 
Money donated after Uvalde shooting is slow to reach victims families, 3 weeks ago, And the trauma of Texas' most deadly school shooting touches the victims' families and friends the survivors and the students teachers and, https://www.texastribune.org/2022/08/16/texas-uvalde-shooting-relief-money-victims/ 
Uvalde school officials Texas law enforcement could be sued over ..., 2 weeks ago, A lawyer for shooting victims is seeking compensation for victims and families citing the Texas House committee's investigative report that, https://www.texastribune.org/2022/08/23/uvalde-shooting-27-billion-lawsuit/ 
Uvalde students go back to school for 1st time since attack, 1 day ago, A large memorial of stuffed animals victims' photographs and , https://apnews.com/article/shootings-texas-education-3e0fc3ec61c1135f8bdae5a18f786ef7 
Uvalde school officials to discuss firing Pete Arredondo on Aug. 24, 3 weeks ago, Uvalde school officials could fire Pete Arredondo the school district's , https://www.texastribune.org/2022/08/16/uvalde-police-chief-arredondo/ 
Uvalde children grapple with trauma after school massacre, 4 days ago, UVALDE Texas (AP) — One girl runs and hides when she sees thin people with long hair , https://apnews.com/article/health-shootings-texas-education-united-states-0084ca76b5623bce8ec85349cad9cc84 
Uvalde parents make hard choices for the coming school year, 3 weeks ago, After the Robb Elementary shooting some Uvalde parents are choosing , https://www.texastribune.org/2022/08/15/uvalde-parents-back-to-school/ 
Texas judge blocks release of Uvalde elementary school shooting records regarding state police response, 4 weeks ago, NEWYou can now listen to Fox News articles! A Texas judge on Wednesday blocked the release of records regarding the state police response to the, https://www.foxnews.com/us/texas-judge-blocks-release-uvalde-elementary-school-shooting-records-regarding-state-police-response 
Raised with trauma Sandy Hook survivors send hope to Uvalde, 8 hours ago, Eaton-Robb reported from Hartford Connecticut, https://abcnews.go.com/Health/wireStory/raised-trauma-sandy-hook-survivors-send-hope-uvalde-89448494 
Uvalde residents confront school board over response to shooting, 1 month ago, "It's going to take all of us to fix it, https://abcnews.go.com/US/uvalde-residents-confront-school-board-response-shooting/story%3Fid%3D88145074 
Large murals honor the 21 victims in the Uvalde Texas shootings., 2 weeks ago, She's one of the fourth-graders killed at Robb Elementary School, https://www.npr.org/2022/08/20/1118439845/texas-artists-honor-the-uvalde-victims-with-21-murals-they-hope-will-help-healin 
Greg Abbott Beto O’Rourke fight over guns abortion in 2022 Texas ..., 1 day ago, Not so fast: Greg Abbott Texas Republicans face a complex election , https://www.texastribune.org/2022/09/06/texas-2022-election-greg-abbott-beto-orourke/ 
Austin woman’s painting raises $22000 for Uvalde playground equipment, 1 hour ago, Just days after the mass shooting at Uvalde's Robb Elementary School , https://www.kxan.com/news/local/austin/austin-womans-painting-raises-20000-for-uvalde-playground-equipment/ 
Beto O’Rourke lashes out at heckler laughing over Uvalde mass ..., 4 weeks ago, A day after the shooting he interrupted Abbott during a news , https://www.washingtonpost.com/nation/2022/08/11/beto-orourke-uvalde-gun-heckler/ 
2 suspects including a teen arrested in a deadly drive-by, 8 hours ago, FORT WORTH Texas (AP) — Two suspects including a teen have been arrested in connection with a drive-by shooting in Fort Worth last week, https://spectrumlocalnews.com/tx/austin/news/2022/09/07/2-suspects--including-a-teen--arrested-in-a-deadly-drive-by 
Texas school shooting victims, 3 months ago, Veronica Luevanos whose 10-year-old daughter Jailah Nicole Silguero was among the victims tearfully told Univision that her daughter did, https://apnews.com/article/victims-uvalde-texas-school-shooting-958714229cac5f6711270301569ccf7a 
‘That smile I will never forget’: the victims of the Texas school shooting, 3 months ago, 'That smile I will never forget': the victims of the Texas school shooting · Uziyah Garcia eight · Xavier Lopez 10 · Amerie Jo Garza 10 · Jose, https://www.theguardian.com/us-news/2022/may/25/uvalde-texas-school-shooting-victims 
All of the Uvalde school shooting victims were in the same 4th grade ..., 3 months ago, The 19 students and two teachers killed in the Uvalde Texas shooting were all in the same fourth grade classroom Lt, https://www.npr.org/2022/05/25/1101175912/uvalde-texas-shooting-victims-4th-grade-classroom 
What we know about Uvalde Texas school shooting 2 days later, 3 months ago, The gunman then began to shoot at the school from the parking lot before he gained , https://www.npr.org/2022/05/26/1101417320/uvalde-texas-school-shooting-beto-o-rourke-greg-abbott 
The victims of the Texas school shooting in Uvalde, 3 months ago, Hearts 'shattered': Here are the victims of the Texas school shooting · Alexandria Aniyah Rubio 10 · Alithia Ramirez 10 · Amerie Jo Garza 10, https://www.latimes.com/california/story/2022-05-25/victims-of-uvalde-texas-school-shooting 
Texas school shooting: Onlookers urged police to charge into school, 3 months ago, The Uvalde tragedy was the latest in a seemingly unending wave of mass shootings across the U, https://www.oregonlive.com/news/2022/05/texas-school-shooting-onlookers-urged-police-to-charge-into-school.html 
These are the victims of the Uvalde school shooting in Texas, 3 months ago, What we know about the victims of the school shooting in Texas · Eva Mireles 44 · Xavier Lopez 10 · Jose Flores 10 · Irma Garcia 48 · Nevaeh, https://www.washingtonpost.com/nation/2022/05/25/uvalde-texas-school-shooting-victims/ 
“Systemic failures” in Uvalde shooting went far beyond local police ..., 1 month ago, No one was able to stop the gunman from carrying out the deadliest school shooting in Texas history in part because of “systemic failures, https://www.texastribune.org/2022/07/17/law-enforcement-failure-uvalde-shooting-investigation/ 
'I don't want it to happen again': Texas school shooting survivor ..., 2 months ago, Zeneta Everhart mother to one of Buffalo's injured victims also addressed lawmakers, https://www.politico.com/news/2022/06/08/uvalde-texas-school-shooting-survivor-pleads-with-congress-00038112 
Delay in breaching classroom during Texas school shooting was "wrong decision" official says, 3 months ago, In an email obtained by CBS News U, https://www.cbsnews.com/live-updates/texas-school-shooting-police-press-conference-watch-live-stream-today-2022-05-27/ 
